 gene 	 metA1a 	 metA1b 	 metB1a 	 metB1b 	 metA10a 	 metA10b 	 metB10a 	 metB10b 	 mtrA1a 	 mtrA1b 	 mtrB1a 	 mtrB1b 	 mtrA10a 	 mtrA10b 	 mtrB10a 	 mtrB10b 
 ytvB 	 593.2414 	 642.069 	 412.5172 	 412.3448 	 596.2069 	 687.5172 	 765.8965 	 823,00   	 550.1035 	 468.6552 	 430.4483 	 427.2414 	 718.9655 	 745.8621 	 755,00   	 798.0345 
 yesX 	 1303.862 	 1406.241 	 961.9655 	 996.2759 	 1279.966 	 1267.276 	 1824.276 	 1912.724 	 1126.31 	 1 148,00   	 903.8965 	 972.069 	 1467.897 	 1656.414 	 1802.172 	 1833.345 
 lgt 	 769.9655 	 837.9655 	 755.4483 	 776.4138 	 1351.31 	 1260.931 	 1900.483 	 2041.862 	 716.6207 	 747.5517 	 763.6552 	 776.931 	 1794.448 	 1798.138 	 1849.621 	 1943.207 
 yqaE 	 827.7241 	 930.2414 	 547.6207 	 590.3793 	 811.3793 	 772,00   	 1213.31 	 1266.483 	 681.1379 	 643.4483 	 484.2758 	 553.2069 	 897.4828 	 1066.31 	 1226.241 	 1192.103 
 ykkD 	 1959.138 	 2136.966 	 1513.69 	 1493.241 	 1700.69 	 1705.966 	 2732.034 	 2798.069 	 1643.862 	 1568.207 	 1283.517 	 1327.172 	 2224.966 	 2418.793 	 2522.483 	 2593.379 
 ycbJ 	 598.4138 	 495.8965 	 436.5172 	 412.5172 	 974.9655 	 716.6896 	 909.4138 	 757.3104 	 475.1379 	 377.9655 	 386.5862 	 330.069 	 890.6552 	 828.5862 	 749.5517 	 603.4483 
 yjbQ 	 1729.69 	 1803.207 	 1287.31 	 1319.483 	 1660.759 	 1625.138 	 3366.793 	 3 304,00   	 1336.483 	 1259.862 	 1104.862 	 1153.172 	 2514.138 	 2596.552 	 3171.379 	 3115.862 
 ppsC 	 871.6896 	 877.8276 	 570.7241 	 590.4138 	 769.1379 	 836.2069 	 922.6896 	 893.4138 	 596.3448 	 546.3104 	 485.8276 	 525.5172 	 942.6896 	 980.6896 	 822.3793 	 837.3104 
 ytfD 	 466.3793 	 488.2414 	 301.5862 	 337.8621 	 521.7586 	 556.931 	 466.1724 	 482.2069 	 329.8965 	 425.5862 	 236.9655 	 244.0345 	 500.8276 	 484.1379 	 460.5172 	 491.8276 
 yoaS 	 335.6897 	 335.8965 	 285.7931 	 252.1379 	 375.7586 	 402.5172 	 417.0345 	 387.6897 	 311.0345 	 294.069 	 244.3103 	 226.5517 	 423.5862 	 393.2069 	 412.3103 	 353.0345 
 ywmB 	 1247.414 	 1072.448 	 1232.103 	 1277.448 	 1152.483 	 1171.034 	 1864.448 	 1971.345 	 1072.31 	 1119.034 	 1047.448 	 1060.379 	 1138.552 	 1212.31 	 1 854,00   	 1845.966 
 yusL 	 678.8965 	 733.9655 	 556.7931 	 528.2414 	 803.6207 	 987.7586 	 939,00   	 955.2069 	 689.0345 	 675.2069 	 477.069 	 493.8276 	 1115.138 	 1116.241 	 882,00   	 839.6207 
 sinR 	 1166.966 	 1239.655 	 849.3104 	 1010.034 	 1772.793 	 1712.862 	 1644.103 	 1764.931 	 1087.034 	 1110.552 	 749.6207 	 795.8621 	 1396.31 	 1605.517 	 1579.207 	 1581.966 
 ycgI 	 1905.655 	 1858.897 	 1599.828 	 1697.034 	 1526.862 	 1543.276 	 1938.276 	 1868.552 	 1724.828 	 1865.379 	 1342.828 	 1418.517 	 1513.724 	 1728.552 	 1963.483 	 1991.31 
 yjlB 	 1168.379 	 1218.552 	 834.6552 	 898.0345 	 1352.034 	 1309.31 	 1287.897 	 1425.793 	 1015.69 	 1100.621 	 638.8965 	 753.1724 	 1325.759 	 1402.207 	 1283.034 	 1422.621 
 dfrA 	 1086.897 	 1134.448 	 786.7931 	 819.6552 	 1315.448 	 1 296,00   	 1090.966 	 1036.862 	 1 034,00   	 1022.759 	 726.3793 	 715.1724 	 1180.069 	 1342.69 	 1025.724 	 1108.759 
 yugU 	 1 088,00   	 1066.69 	 861.4138 	 869.0345 	 1349.483 	 1378.621 	 1223.586 	 1287.172 	 1028.793 	 1055.966 	 630.4483 	 698.0345 	 1295.414 	 1187.103 	 1248.759 	 1252.552 
 yqgZ 	 772.3104 	 784.5172 	 738.9655 	 698.6552 	 702.1035 	 646.2414 	 806.3104 	 811.4828 	 829.7931 	 811.931 	 596.7241 	 619.4138 	 759.4483 	 701.5862 	 927.6552 	 920.6896 
 adeC 	 578.5862 	 559.069 	 391.0345 	 400.1035 	 680.6207 	 695.1724 	 574.3104 	 595.6207 	 485.6552 	 471,00   	 326.8276 	 338.9655 	 864.5172 	 899.4828 	 513.1724 	 508.3103 
 yacB 	 453.3103 	 448.069 	 339.5172 	 307.7242 	 553.8965 	 546.5517 	 542.4483 	 528.5517 	 331.2069 	 313.2069 	 298,00   	 299.2758 	 553.1724 	 551.8621 	 449.5517 	 449.4483 
 yusN 	 761.3448 	 685.4828 	 498.2069 	 532.5172 	 544.069 	 505.7586 	 617.8621 	 638.2759 	 663,00   	 631.1035 	 403.5172 	 385.931 	 497.5862 	 486.8276 	 570.3793 	 627.3104 
 yclQ 	 1206.276 	 1192.793 	 1098.345 	 1023.483 	 1811.621 	 1541.586 	 1975.552 	 2215.104 	 1167.828 	 1142.103 	 775.5517 	 835.2759 	 1478.793 	 1564.379 	 1871.379 	 1898.103 
 xkdX 	 855.2759 	 963.931 	 636.4828 	 710.4828 	 1340.621 	 1506.483 	 1550.069 	 1593.759 	 831,00   	 866.069 	 594.1724 	 624.4483 	 1295.69 	 1501.586 	 1585.621 	 1620.069 
 ypmB 	 873.4138 	 832.4138 	 715.7586 	 678.3793 	 1310.931 	 1404.69 	 952.1724 	 1033.759 	 711.2759 	 814.0345 	 535.2069 	 601,00   	 994.3793 	 1 234,00   	 857.8621 	 929.5517 
 yuzG 	 540.6552 	 557,00   	 418.7242 	 401.7931 	 802.7586 	 726.2414 	 880.1379 	 930.1035 	 508.4483 	 476.3793 	 408.2758 	 437.5172 	 766.3104 	 850.1035 	 856.2759 	 835.931 
 ytlR 	 864.1724 	 865.4138 	 556.7586 	 586.7241 	 583.3448 	 768.3104 	 735.8621 	 721.5172 	 769.6207 	 802.8621 	 467.8276 	 465.931 	 695.7586 	 709.3793 	 686.2414 	 705.2414 
 melA 	 375.5517 	 407.1724 	 279.8965 	 253.6897 	 474.8965 	 466.2414 	 471.5862 	 421.5862 	 353,00   	 362.5172 	 219.1379 	 245.2069 	 437.3103 	 469.7586 	 417.2758 	 443.6897 
 yfiQ 	 326.9655 	 296.3103 	 228.7931 	 214.1379 	 354.2069 	 354.0345 	 374.2069 	 350.7242 	 300.8621 	 244.9655 	 240.2759 	 214.069 	 370.0345 	 391.8965 	 291.8965 	 289.7931 
 yfjD 	 482.4828 	 502.931 	 361.5172 	 376.6897 	 547.5172 	 592.069 	 578.0345 	 626.5862 	 386.4138 	 395.4483 	 278.2758 	 304.931 	 590.931 	 480.931 	 466.4483 	 493.3103 
 ydaQ 	 303.8276 	 288.4828 	 173.2759 	 219.1724 	 394.2414 	 315.2414 	 344,00   	 332.4828 	 249.3793 	 254.1035 	 205.8621 	 179.3448 	 376.6897 	 391.1724 	 320.8276 	 298.6207 
 ptsH 	 420.3103 	 416.9655 	 313.931 	 334.6897 	 614.4138 	 610.1035 	 487.5517 	 515.7586 	 384.7931 	 384.3448 	 319.6207 	 309.6897 	 625.1724 	 601.9655 	 441.1035 	 471.9655 
 spmB 	 598.6896 	 607.8276 	 467.9655 	 460.4138 	 974.6207 	 1013.828 	 876.3104 	 901.3104 	 596.7586 	 632.069 	 463.7931 	 489.4138 	 1074.448 	 1165.172 	 914.5172 	 890.1724 
 opuCA 	 728.4138 	 704.6207 	 564.069 	 575.6552 	 828.3448 	 796.7931 	 796.6896 	 780.4828 	 693.2069 	 721.931 	 500,00   	 516.2069 	 869.2759 	 938.2759 	 769.7241 	 853.2069 
 ybxG 	 785.7931 	 803.5517 	 634.931 	 674.3793 	 962.1035 	 913.7586 	 1304.586 	 1311.931 	 751.2414 	 734.2759 	 523.8965 	 505.3448 	 1129.483 	 1016.862 	 1092.966 	 1143.172 
 ytlC 	 598.1724 	 613.7931 	 416.7586 	 392.4828 	 726.8965 	 649.7586 	 750.2069 	 862.0345 	 532.7241 	 565.3104 	 330.2414 	 379.069 	 774.5517 	 828.931 	 752.4828 	 836.1379 
 smf 	 482.2758 	 433.6897 	 257.6207 	 272.6897 	 823.6896 	 728.6552 	 413.8621 	 457.5172 	 382.6207 	 406.1035 	 235.0345 	 251.7586 	 656.5172 	 737.3104 	 398.6552 	 438,00   
 yodE 	 545.9655 	 544.5172 	 499.5172 	 539.0345 	 380.1724 	 406.1379 	 611,00   	 635,00   	 553.3448 	 554.4138 	 360.8276 	 430.0345 	 424.3103 	 401.8621 	 613.1035 	 577.3448 
 ydcT 	 531.0345 	 503.1379 	 578.3448 	 586.1724 	 429.7586 	 418.4138 	 1 095,00   	 1147.138 	 350.3103 	 384.6207 	 254.3793 	 256.1379 	 495.931 	 482.5862 	 410.6552 	 406.2414 
 bpr 	 397.7242 	 393.0345 	 242.3448 	 283.3448 	 414,00   	 442.1379 	 565.5517 	 566.8621 	 308.8276 	 348.1724 	 276.1379 	 239.1379 	 504,00   	 543.2759 	 468.6552 	 491.5172 
 yqfR 	 707.3448 	 740.6896 	 604,00   	 558.2069 	 879.5172 	 929.1035 	 1061.828 	 1103.379 	 638.5862 	 640.5862 	 495.1379 	 476.3793 	 954.069 	 1032.034 	 962.5172 	 938.6207 
 yvdL 	 967.6896 	 994.6552 	 697.4828 	 713.5862 	 767.5517 	 773.7241 	 1221.897 	 1331.793 	 863.4138 	 875.2069 	 583.5172 	 563.1035 	 1203.379 	 1111.586 	 1195.345 	 1275.517 
 yitC 	 1801.586 	 1614.276 	 1163.517 	 1185.103 	 1691.069 	 1959.862 	 1964.621 	 2055.586 	 1667.069 	 1632.828 	 975.8965 	 1005.69 	 1792.586 	 1799.966 	 1871.345 	 1942.793 
 ytcC 	 364.069 	 486.069 	 263.6552 	 337.0345 	 392.1724 	 472,00   	 436.5862 	 498.7242 	 333.5517 	 399.931 	 233.7586 	 294.8965 	 471.3103 	 505.2069 	 383.8621 	 491.4138 
 pksN 	 2154.621 	 2152.31 	 1785.172 	 1704.897 	 1680.138 	 1992.276 	 2503.138 	 2569.896 	 2321.172 	 2208.828 	 1727.345 	 1798.828 	 2437.896 	 2473.241 	 2488.724 	 2560.966 
 spoVAC 	 340.1035 	 313.3103 	 231.8276 	 213.5517 	 338.4138 	 327.2414 	 360.5172 	 322.5517 	 279.4483 	 270.9655 	 222.5172 	 192.4138 	 389.2414 	 371.2069 	 343.4138 	 329.2069 
 ydhO 	 472.3793 	 453.5862 	 300.5517 	 318.9655 	 550.0345 	 557.4483 	 602.4138 	 620.069 	 370.9655 	 378.8621 	 273.931 	 328.1035 	 535.3793 	 568.931 	 553.6207 	 597,00   
 yloR 	 458.4138 	 464.2758 	 364.3448 	 342.5172 	 544.7586 	 598.9655 	 574.7241 	 556.5172 	 403.4138 	 387.6552 	 311.9655 	 359.7931 	 620.4828 	 562.8621 	 553.5517 	 526.5862 
 yqbI 	 589.3448 	 630.931 	 349.3793 	 438.2069 	 649.4828 	 638.1379 	 624.4483 	 653.8965 	 558.1724 	 540.1724 	 367.6207 	 372.7586 	 675.931 	 711.3104 	 628.6207 	 605.2414 
 ywqC 	 1218.586 	 1335.172 	 915.4138 	 889.6896 	 1225.31 	 1090.345 	 1746.897 	 1756.517 	 938.069 	 1011.793 	 599,00   	 645.069 	 1234.241 	 1272.897 	 1672.379 	 1718.138 
 yqjL 	 529.0345 	 572.7586 	 400.7242 	 379.2414 	 613.6207 	 479.5517 	 616.069 	 633.8276 	 480.8621 	 462.2414 	 328.1035 	 325.1035 	 639.3793 	 653.2414 	 612.1035 	 609.7586 
 yjbJ 	 390.7586 	 486.1035 	 341.931 	 369.5172 	 566.1035 	 572.2759 	 542.6207 	 601.2759 	 376.069 	 368.8621 	 395.4138 	 433.3448 	 653.4483 	 625.5172 	 654.5172 	 690.8965 
 spoIIIC 	 1527.931 	 1516.552 	 1143.655 	 1087.517 	 1972.552 	 1977.483 	 2215.621 	 2286.69 	 1 257,00   	 1286.517 	 940.5172 	 998.0345 	 2172.966 	 2086.31 	 2062.345 	 2177.172 
 pheA 	 1343.241 	 1 359,00   	 1109.724 	 1077.621 	 1582.897 	 1326.759 	 2018.034 	 2009.103 	 1256.448 	 1284.276 	 883.4138 	 903.2759 	 1731.621 	 1838.69 	 1955.966 	 2006.897 
 lplB 	 543.6896 	 464.5862 	 335.5517 	 292.931 	 500.8965 	 485.6897 	 621.7931 	 546.3448 	 497.1379 	 507.3448 	 340.1724 	 287.3103 	 602.4483 	 565.7931 	 543.2414 	 500.4138 
 spoVFA 	 819.5862 	 803.4483 	 507.5172 	 517.6552 	 803.5517 	 839.6896 	 992.1035 	 1006.104 	 683.6552 	 672.7586 	 453.931 	 421.5517 	 965.4138 	 939.5172 	 936.9655 	 950,00   
 yrkQ 	 306,00   	 286.069 	 218.7241 	 204.4828 	 312.7586 	 312.4483 	 346.5517 	 323.3793 	 281.5517 	 255.6207 	 200.9655 	 209.2414 	 375.8276 	 359.4138 	 324.1379 	 282.1379 
 fnr 	 397.1035 	 346.5517 	 279,00   	 288.2414 	 442.5862 	 451.8965 	 410.8621 	 449.3103 	 387.6207 	 347.3103 	 208.2414 	 232.3793 	 417.4828 	 490.5172 	 388.4828 	 425.4138 
 ywnC 	 714.8621 	 679.7586 	 520.3448 	 541.069 	 849.8621 	 824.4828 	 832.3104 	 877.4828 	 661.7931 	 662.5172 	 468.7931 	 470.6552 	 765.1035 	 837.3104 	 882.6207 	 913.1379 
 yusA 	 1156.276 	 1229.241 	 712.069 	 805.2759 	 1 121,00   	 1138.276 	 965.7241 	 977.1724 	 1205.483 	 1213.276 	 686.1035 	 705.069 	 1259.759 	 1403.586 	 1094.517 	 1110.759 
 gerBA 	 323.4483 	 351.5862 	 274.2414 	 245.8965 	 486.3103 	 450.6552 	 552.4483 	 540.5517 	 296.6897 	 304.6207 	 234.4483 	 224.931 	 475.7242 	 502.6552 	 542.5862 	 548.1724 
 fhuC 	 333.6207 	 317.5862 	 327.1379 	 333.2414 	 582.0345 	 547.4483 	 578.5517 	 555.069 	 331.2758 	 305.2069 	 299.3793 	 279.5172 	 565.7241 	 564.3448 	 515.9655 	 509.7586 
 citM 	 330.931 	 348.6207 	 287.4483 	 287.8621 	 529.4483 	 466,00   	 523.7586 	 558.5517 	 332.931 	 299.4483 	 264.8621 	 285.3103 	 448.7931 	 433.8965 	 436.931 	 440.1379 
 spoVK 	 702.5862 	 743.7241 	 622.7586 	 597.1035 	 904.5172 	 929.7241 	 909.7241 	 901.4483 	 713.1379 	 724.4483 	 485.6207 	 484.7242 	 967.2759 	 976.3793 	 871.0345 	 904.4483 
 alaS 	 964.3448 	 960.5517 	 692.2759 	 669.6552 	 1098.034 	 1124.414 	 1042.517 	 1048.034 	 818.0345 	 822.2759 	 545.2414 	 551.3104 	 958.5862 	 1029.586 	 1157.966 	 1137.31 
 ywdK 	 352.0345 	 340.6552 	 276.5862 	 278.3448 	 336.5862 	 366.931 	 321.1379 	 326.1379 	 288.1724 	 331.931 	 216.069 	 228.6897 	 398,00   	 392.3103 	 293.069 	 346.2414 
 yjpA 	 377.6897 	 368.4483 	 267.069 	 304.931 	 588.069 	 584.931 	 440.3793 	 477.7242 	 312.5517 	 342.5862 	 234,00   	 244.069 	 640.8621 	 613,00   	 426.3103 	 431.8276 
 yvqG 	 440.931 	 416.3448 	 418.2414 	 428.3103 	 619.2759 	 611.6207 	 659.0345 	 715.4138 	 329,00   	 360.8621 	 349.0345 	 336.7586 	 728.8621 	 687.7931 	 661.3793 	 714.5517 
 ybfS 	 277.5172 	 306.7586 	 253.6207 	 219.8621 	 412.4483 	 428.7242 	 447.5862 	 472.3103 	 261.3448 	 265.3793 	 264.0345 	 232.2414 	 466.6552 	 414.1035 	 355.5862 	 335.8276 
 yvgU 	 732.8965 	 725.2069 	 539,00   	 591.1724 	 1 094,00   	 1071.966 	 988.3793 	 1062.448 	 671.931 	 691.5517 	 447.2069 	 489.931 	 1011.069 	 1108.172 	 1038.621 	 1111.69 
 ygxA 	 485.5172 	 583,00   	 375.0345 	 459.3448 	 554.931 	 649.3448 	 559.0345 	 626.2759 	 458.1035 	 552.069 	 357.1035 	 390.4483 	 660.7241 	 717.3793 	 551.7241 	 577.5862 
 yotL 	 493.069 	 540.7586 	 398.4828 	 408.7586 	 672.9655 	 643.2759 	 688,00   	 672.1035 	 447.8621 	 467.2758 	 355.069 	 367.2069 	 697.5172 	 747.3448 	 654.7241 	 711.0345 
 ysfE 	 1166.103 	 1172.586 	 690.7586 	 720.2069 	 870.8965 	 861.9655 	 800.6552 	 842.4138 	 993.5517 	 1034.724 	 508.4483 	 483.8276 	 985.6896 	 1024.897 	 891.1035 	 907.9655 
 yxlC 	 314.4483 	 320.1379 	 297.8965 	 309.6552 	 348.7242 	 349.069 	 367.6207 	 350.5172 	 308.7931 	 325.8621 	 316.0345 	 314.2758 	 435.6897 	 433.4483 	 297.4828 	 317.8965 
 yqiV 	 774.5517 	 633.5862 	 590.8621 	 457.6207 	 775.7931 	 727.8965 	 880.5862 	 612.5862 	 665.4138 	 469.4828 	 633.1035 	 516.7586 	 882.1379 	 711.4138 	 592.3448 	 537.4138 
 rpsK 	 3213.448 	 3186.104 	 3634.966 	 3553.138 	 3307.931 	 3227.207 	 3653.276 	 3764.104 	 3489.724 	 3322.241 	 3112.828 	 3196.966 	 3077.241 	 3 351,00   	 3743.138 	 3739.896 
 ykmA 	 405.6897 	 302.2414 	 261.8621 	 249.2414 	 597.069 	 398.6897 	 422.6552 	 363.3103 	 452,00   	 308.1379 	 256.6207 	 229.7586 	 519.069 	 452.6897 	 430.4138 	 428.5172 
 yvaD 	 924.5862 	 935.8276 	 806.7241 	 747.8276 	 1041.207 	 1034.172 	 1116.621 	 1171.897 	 834.8965 	 820.5172 	 562.1724 	 565.4483 	 1121.655 	 1173.517 	 1145.586 	 1132.483 
 yhaN 	 1410.931 	 1431.621 	 1148.241 	 1108.379 	 1357.276 	 1367.034 	 1337.793 	 1292.586 	 1367.276 	 1412.69 	 886.3793 	 885.9655 	 1623.759 	 1594.655 	 1352.034 	 1340.897 
 adhB 	 349.4828 	 392.8621 	 274.069 	 280.7931 	 385.8621 	 417.2758 	 413.8276 	 431.6897 	 343.5517 	 356.3448 	 267.4138 	 282.2758 	 503.7242 	 550.7241 	 362.2069 	 394.4138 
 ytmM 	 1144.724 	 1118.897 	 1085.276 	 1078.931 	 2089.379 	 2102.759 	 1709.69 	 1736.621 	 1210.897 	 1204.31 	 1084.966 	 1069.724 	 2727.31 	 2801.069 	 1914.414 	 2040.655 
 yxeG 	 283.2414 	 310.2069 	 233.8965 	 231.3793 	 320.3793 	 391.6897 	 333.1035 	 325.5862 	 243.4483 	 249.3793 	 231.2759 	 192.4483 	 421.1035 	 395.1724 	 309.0345 	 284.7242 
 ysxA 	 614.5172 	 629.0345 	 440.5862 	 390.7931 	 904.2069 	 857.3448 	 684.6896 	 690.1379 	 464.6897 	 485.6552 	 311.4138 	 376.2069 	 969.6896 	 922.1724 	 547.7241 	 537.1379 
 yxcE 	 520.4138 	 525.5862 	 325.1379 	 399.931 	 530.6896 	 633.8276 	 692.6896 	 680.4138 	 454.7242 	 449.4828 	 324.8276 	 357.6897 	 753.4828 	 791.4828 	 606.5172 	 607.2759 
 patA 	 262.8276 	 282.6552 	 212.931 	 217.3103 	 304,00   	 319.8965 	 284.4828 	 280.7931 	 234.4828 	 258.8621 	 234.9655 	 199.2069 	 380.9655 	 362.3793 	 276.069 	 266.8965 
 ywjB 	 455.3448 	 460.8621 	 393.6552 	 384.931 	 490.931 	 470.3103 	 490.931 	 464,00   	 373.1035 	 377.3448 	 320.3793 	 287.2414 	 545.1035 	 551.1379 	 391.6897 	 408.2758 
 yhfQ 	 778.6207 	 826.5517 	 580.7931 	 577.3448 	 669.9655 	 655.1035 	 803.8621 	 764.3793 	 699,00   	 738.069 	 479.6897 	 462,00   	 861.3448 	 818.2069 	 743.6207 	 787.4138 
 yybC 	 2321.69 	 2346.414 	 2115.207 	 2051.104 	 912.0345 	 1155.793 	 1725.276 	 1710.276 	 2138.448 	 2133.586 	 1721.414 	 1679.621 	 1568.931 	 1547.207 	 1601.31 	 1670.138 
 yteV 	 2078.448 	 2125.966 	 1438.414 	 1538.241 	 1719.034 	 1651.517 	 2093.31 	 2159.793 	 1890.897 	 1859.724 	 1113.517 	 1258.172 	 2489.793 	 2397.31 	 2061.483 	 2125.172 
 yosC 	 358.3103 	 360.4483 	 254.3793 	 228.4138 	 394.4483 	 449.7242 	 448.5517 	 484.8276 	 276.1379 	 299.4138 	 270.1035 	 243.6207 	 462.931 	 483.3793 	 442.7242 	 481.2758 
 yvqK 	 1016.104 	 1074.103 	 734.8276 	 714.931 	 983.5172 	 1024.862 	 1309.448 	 1538.207 	 813.6207 	 787.8276 	 765.6896 	 802.5862 	 1404.862 	 1405.138 	 1288.931 	 1405.69 
 yxeE 	 969.8276 	 1007.276 	 815.5862 	 865.7586 	 1394.69 	 1469.828 	 2081.724 	 2145.655 	 859.4483 	 906.1379 	 856.1724 	 887.5172 	 1944.241 	 1891.138 	 1986.103 	 2091.138 
 narH 	 966.2069 	 1032.103 	 683.3793 	 659.3104 	 752.6896 	 769.1724 	 1061.414 	 1074.724 	 856.3448 	 867.2759 	 725.9655 	 789.5172 	 1226.379 	 1136.828 	 1020.69 	 996.5172 
 ykrX 	 1768.31 	 1830.345 	 1308.069 	 1371.517 	 1598.241 	 1122.552 	 2743.69 	 2832.448 	 1153.31 	 1219.69 	 1373.414 	 1330.69 	 2679.104 	 2551.345 	 2840.138 	 2898.862 
 yorP 	 505.6552 	 462.0345 	 314.4828 	 300.1724 	 612.8621 	 557.6896 	 684.931 	 635.1035 	 410.1379 	 382.5862 	 344.6207 	 299.4138 	 698.0345 	 614.7586 	 642.2414 	 613.3104 
 yfhL 	 1651.759 	 1652.276 	 1063.276 	 1152.103 	 1295.69 	 999.8965 	 2492.379 	 2538.931 	 1399.379 	 1477.897 	 1156.241 	 1116.759 	 2334.552 	 2419.379 	 2389.793 	 2460.345 
 yodC 	 1059.276 	 1035.759 	 712.8276 	 775.7931 	 987.1724 	 855.069 	 1790.241 	 1766.069 	 1097.897 	 1113.862 	 717.2069 	 690.7241 	 2080.517 	 2154.586 	 1845.897 	 1846.862 
 ypbD 	 549.1035 	 548.8965 	 472,00   	 371.8965 	 493.6552 	 674.7931 	 960.9655 	 911.8965 	 392.5517 	 399.1724 	 381.6552 	 356.8965 	 747.8621 	 821.7931 	 956.9655 	 960.2069 
 ycgA 	 1379.207 	 1331.897 	 929.931 	 907,00   	 935.1379 	 1089.103 	 1572.966 	 1560.207 	 899.6896 	 865.8621 	 767.0345 	 740,00   	 1575.552 	 1361.345 	 1543.69 	 1496.31 
 yngH 	 1991.828 	 1994.586 	 1376.759 	 1353.103 	 1 011,00   	 1776.655 	 2929.69 	 2964.759 	 1606.034 	 1275.828 	 1192.034 	 1159.483 	 2544.759 	 2645.931 	 2733.276 	 2853.172 
 yxiS 	 651.1035 	 734.2069 	 571.3793 	 418.0345 	 564.0345 	 822.3793 	 1012.104 	 975.5172 	 629.5172 	 418.6207 	 493.4138 	 470.6552 	 1001.586 	 897.4138 	 896.0345 	 904.1724 
 lsp 	 1496.793 	 1689.448 	 1362.931 	 1450.517 	 2270.241 	 2517.207 	 2942.828 	 3061.172 	 1162.897 	 1376.724 	 1 199,00   	 1182.621 	 2334.138 	 2416.862 	 2649.483 	 2728.517 
 trpE 	 755.1035 	 645.1035 	 414.6552 	 397.931 	 798.1724 	 672.8965 	 794.5862 	 631,00   	 511.5172 	 460.1724 	 310.7931 	 305.2069 	 744.3104 	 645.6207 	 689.6207 	 584.0345 
 ygaD 	 830.7241 	 894.2414 	 610.7241 	 612.5517 	 1063.379 	 1003.414 	 1172.483 	 1187.897 	 606.2069 	 762.5862 	 480.2069 	 571.7586 	 1113.897 	 1198.414 	 1086.69 	 1157.103 
 phrF 	 1 772,00   	 1736.241 	 1647.103 	 1679.621 	 3767.862 	 4242.621 	 4169.828 	 4271.483 	 1801.69 	 1869.69 	 1371.345 	 1 441,00   	 5049.035 	 4551.552 	 3485.414 	 3792.724 
 lysA 	 642.4828 	 697.6207 	 579.2759 	 577,00   	 1102.276 	 1132.31 	 925.2414 	 939.6207 	 610.3793 	 640.5517 	 464,00   	 481.2414 	 1090.103 	 1153.862 	 878.2759 	 917.2759 
 yddM 	 735.2759 	 711.069 	 549.5517 	 479.9655 	 884.2414 	 822.6552 	 887.8965 	 810.5517 	 659.2069 	 616.7241 	 398.5172 	 369.9655 	 856.5172 	 825.4483 	 793.2069 	 782.4483 
 ypjD 	 1244.483 	 1245.276 	 875.3448 	 916.3793 	 1732.621 	 1735.655 	 2021.483 	 1999.793 	 1054.69 	 1054.828 	 715.2414 	 716.1724 	 1576.621 	 1 486,00   	 1853.483 	 1968.793 
 wapA 	 1073.931 	 1098.828 	 983.5172 	 1013.69 	 1 997,00   	 2041.241 	 1445.207 	 1527.241 	 935.4828 	 962.3448 	 771.1035 	 801.7241 	 1825.483 	 1867.931 	 1544.034 	 1589.276 
 fabD 	 1163.759 	 1248.483 	 1185.448 	 1143.103 	 2056.931 	 2100.759 	 2031.414 	 2204.724 	 1021.034 	 998.5517 	 981.3793 	 1031.724 	 2015.069 	 2200.138 	 2185.759 	 2162.483 
 yqjT 	 784.7586 	 602.1035 	 536.1035 	 495.4138 	 742.2759 	 708.7931 	 758.8621 	 745.3104 	 555.6896 	 562.5172 	 407.931 	 411.7931 	 844.6207 	 818.1379 	 709.3104 	 669.7931 
 ylxM 	 777.1724 	 827.0345 	 752.4828 	 679.8965 	 1217.552 	 1310.276 	 1095.655 	 1162.103 	 669.6552 	 675.8965 	 599.4828 	 606.069 	 1148.069 	 1265.414 	 1097.759 	 1152.724 
 ybfH 	 539.7931 	 501.7242 	 378.6897 	 368.7931 	 808.1035 	 815.5517 	 734.069 	 762.1379 	 534.8276 	 498.4138 	 305,00   	 377.7931 	 989.5862 	 1152.517 	 666.6552 	 711.8276 
 nadA 	 678.069 	 660.1035 	 548.9655 	 543.5172 	 1 070,00   	 1115.241 	 629.5862 	 752.7586 	 628.931 	 666.2759 	 550.7241 	 529.2414 	 1118.931 	 1105.828 	 801.9655 	 788.931 
 yflD 	 460.2414 	 439.8965 	 260.8621 	 252.3103 	 461.7931 	 440.8965 	 466.069 	 415.7586 	 314.7242 	 295.1035 	 230.5862 	 223,00   	 533.1724 	 443.6552 	 405.2414 	 370.3448 
 accB 	 862.3448 	 869.6207 	 744.5172 	 754.7586 	 1180.828 	 1220.172 	 1196.138 	 1211.69 	 738.4828 	 767.931 	 642.7241 	 638.8965 	 1234.862 	 1164.586 	 1116.414 	 1186.483 
 ybdE 	 581.069 	 540.4483 	 434.9655 	 435.1724 	 600.6896 	 602.1724 	 603.4483 	 669.1724 	 485.3448 	 436,00   	 322.6552 	 361.8621 	 682.7241 	 689.8621 	 578.6207 	 557.5517 
 yndA 	 420.3793 	 459.5862 	 358.6207 	 379.8276 	 721.9655 	 671.3448 	 563.0345 	 564.7241 	 334.3448 	 388.7931 	 339.9655 	 369.9655 	 487.7242 	 568.5862 	 530.3793 	 561.2069 
