 gene 	 metA1a 	 metA1b 	 metB1a 	 metB1b 	 metA10a 	 metA10b 	 metB10a 	 metB10b 	 mtrA1a 	 mtrA1b 	 mtrB1a 	 mtrB1b 	 mtrA10a 	 mtrA10b 	 mtrB10a 	 mtrB10b 
 comGE 	 685.4483 	 663.5172 	 226.3793 	 225.0345 	 1021.345 	 1083.793 	 495.4483 	 453.3793 	 501.3103 	 437.8621 	 211.1724 	 236.7931 	 983.4483 	 927.6207 	 424.4483 	 363.7242 
 ytpS 	 815.6896 	 850.8276 	 631.5172 	 566.1379 	 996.2414 	 1025.897 	 1367.379 	 1394.103 	 861.6896 	 808.9655 	 640.5517 	 655.6552 	 1360.345 	 1272.241 	 1339.414 	 1377.241 
 ywlB 	 1041.931 	 1066.379 	 826.7586 	 818.1035 	 1440.241 	 1509.552 	 2203.276 	 2267.034 	 1169.414 	 1278.241 	 879.2069 	 897.5862 	 1555.552 	 1805.483 	 2137.31 	 2200.069 
 alsR 	 396.931 	 396.3103 	 267.1379 	 282.7586 	 497.4828 	 486.3103 	 585.4138 	 563.2414 	 404.3103 	 425.6207 	 271.5172 	 261.1035 	 596.5517 	 585.4483 	 555.4138 	 563,00   
 yqxN 	 387.0345 	 402.3103 	 366.8621 	 359.6552 	 524.8965 	 578.4483 	 704.931 	 692.2759 	 362.2069 	 347.5517 	 378.3103 	 377.3448 	 604.0345 	 599.9655 	 643.7241 	 678.9655 
 ytpA 	 407.7586 	 401.4138 	 324.7586 	 305.7931 	 513.2414 	 512.5172 	 496.8621 	 459.8276 	 392.5862 	 428,00   	 316.5517 	 307.069 	 526.2069 	 548.931 	 497.0345 	 491.5862 
 ywhA 	 298.931 	 283.8276 	 287.9655 	 244.3103 	 476.7931 	 472.0345 	 581.0345 	 582.1724 	 330.9655 	 292.9655 	 255.8965 	 208.1035 	 433.2414 	 436.5517 	 568,00   	 535.8276 
 nrgA 	 325.4483 	 326.2069 	 246.4483 	 317.7586 	 505.6207 	 509.1379 	 651.8965 	 670.8276 	 281.4828 	 331.9655 	 282.5172 	 278.4138 	 428.4138 	 436.1724 	 482.3448 	 491.0345 
 yqeG 	 301.8276 	 327.0345 	 279.4828 	 242.2759 	 470.6552 	 499.4828 	 389.3793 	 413.2069 	 309.8276 	 281.6897 	 272.1379 	 237.9655 	 409.1724 	 443.0345 	 464.7586 	 424.2414 
 mpr 	 343.931 	 327.6207 	 210.1724 	 255.7586 	 493.5172 	 504.1379 	 554.0345 	 516.7586 	 424.0345 	 400.6897 	 305.2758 	 311.2758 	 474.2414 	 506.6207 	 452.9655 	 438.1035 
 yfiE 	 252.2069 	 251.931 	 207.8276 	 196.6897 	 385.1379 	 376.2414 	 400.6897 	 424.0345 	 250.8462 	 272.4828 	 207.8276 	 215.2069 	 340.931 	 363.6552 	 287.3448 	 309,00   
 ykoL 	 234.4231 	 394.3793 	 183.2069 	 198.2069 	 362.6538 	 333.8462 	 367.8621 	 364.4483 	 261.2692 	 266.8621 	 216.1724 	 226.8276 	 333.931 	 337.5172 	 329.6552 	 295.9655 
 ywcA 	 904.6207 	 960.5862 	 590.8276 	 588.4138 	 1630.138 	 1584.379 	 1802.276 	 1850.552 	 1186.69 	 1167.138 	 715.7586 	 716.2069 	 1816.931 	 1957.586 	 1628.759 	 1619.483 
 ydbE 	 759.6896 	 703,00   	 685.5517 	 638.0345 	 1383.828 	 1441.103 	 2153.104 	 2252.552 	 945.2759 	 913.3448 	 815.8276 	 802.3448 	 1522.207 	 1367.69 	 2165.172 	 2273.379 
 yheN 	 510.0345 	 568.3793 	 406.4138 	 407,00   	 889,00   	 978.7931 	 878.6552 	 883.4828 	 584.0345 	 489.9655 	 483.069 	 424.2758 	 915.931 	 812.2759 	 891.4828 	 896.2414 
 ycbE 	 341.6207 	 343.8276 	 234.8276 	 232.069 	 488.1035 	 439.1724 	 537.2069 	 529.5862 	 370.2069 	 368.8965 	 324.1035 	 289.4483 	 426.6207 	 429.2758 	 456.3448 	 400.2414 
 yfhH 	 312.8965 	 361.5862 	 248.2069 	 254.069 	 489.5517 	 443.5862 	 549.5862 	 608.8276 	 328.1379 	 384.4828 	 272.4483 	 303.1035 	 485.4138 	 459.0345 	 492.4138 	 503.7242 
 ykvP 	 218.0625 	 229.1562 	 183.2069 	 185.7931 	 293.6552 	 269.6207 	 312.8621 	 331.2069 	 246.2069 	 222.7931 	 235.7241 	 208.931 	 301.5625 	 284.25 	 324.7242 	 293.7931 
 pepT 	 618.5172 	 621.9655 	 436.7931 	 427.6897 	 698.1379 	 914.8276 	 996.1379 	 1076.621 	 770,00   	 806.3104 	 569.5172 	 538.2069 	 1094.793 	 1160.966 	 852.5517 	 800.5172 
 ydeC 	 500.7586 	 449.9655 	 307.5172 	 292.8965 	 394.7242 	 444.3793 	 374,00   	 338.8621 	 463.5172 	 475.4828 	 323.2414 	 330.3448 	 442.069 	 409.2758 	 284.7931 	 333.7931 
 yhfS 	 403.6207 	 421.4138 	 293.5172 	 301.931 	 528.7931 	 564.5517 	 753.6207 	 762.3448 	 382.7931 	 442.1724 	 335.6207 	 375.069 	 604.931 	 540.3448 	 472.1724 	 519.4483 
 yccC 	 323.7692 	 383.6897 	 222.7241 	 241.6897 	 412.6552 	 619.8965 	 432.7586 	 450.6552 	 369.3793 	 404,00   	 237.9655 	 261.2414 	 365.3125 	 406.2069 	 401.1035 	 383.5517 
 yhcB 	 838.2414 	 934.1035 	 586.3104 	 612.0345 	 951.1724 	 870.8621 	 1210.552 	 1179.414 	 924.5172 	 906.7586 	 632.0345 	 669.9655 	 1100.724 	 1222.655 	 1084.724 	 1052.724 
